Geneid	L10_WT1	L10_WT2	L10_WT3	L10_WT4	L1_WT1	L1_WT2	L1_WT4	p13_WT1	p13_WT2	p13_WT3	p13_WT4	p6_WT1	p6_WT2	p6_WT4
ENSMUSG00000063130	17	6	15	6	28	14	50	50	55	119	143	11	26	47
ENSMUSG00000033765	0	0	0	5	0	0	0	2	1	2	1	0	0	0
ENSMUSG00000099269	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106770	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021215	3371	1724	3131	1529	2727	2030	2180	4186	4333	3445	5562	748	987	777
ENSMUSG00000021216	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000044988	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093010	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033715	51	12	45	26	186	131	127	490	453	422	559	39	46	86
ENSMUSG00000021214	0	3	4	12	33	19	27	118	247	204	86	7	25	18
ENSMUSG00000021213	7	1	6	4	21	10	16	42	41	60	84	12	18	17
ENSMUSG00000071551	1	0	0	0	1	2	0	7	3	4	8	2	2	1
ENSMUSG00000086265	0	0	0	0	0	0	0	2	0	0	0	0	0	1
ENSMUSG00000021211	0	1	0	0	0	1	2	4	8	8	12	2	5	2
ENSMUSG00000021210	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000054757	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021207	1	0	4	0	4	3	8	16	14	12	12	5	3	5
ENSMUSG00000045410	78	85	141	78	288	205	251	638	567	635	767	97	164	195
ENSMUSG00000094772	0	0	0	0	0	1	1	2	1	1	1	0	1	0
ENSMUSG00000053499	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077473	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000080562	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100625	0	0	0	0	1	0	0	0	0	0	1	0	0	0
ENSMUSG00000000078	422	318	541	315	1304	1109	1601	2708	3153	3318	4284	488	793	840
ENSMUSG00000077971	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101540	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021193	200	167	301	154	698	602	595	1496	1752	1682	2178	303	509	462
ENSMUSG00000021196	57	72	121	67	577	586	633	1173	1152	1222	1522	277	576	484
ENSMUSG00000068324	0	0	0	0	2	1	0	3	1	3	4	0	0	0
ENSMUSG00000076407	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000091053	0	0	0	0	0	0	0	0	0	0	1	0	1	0
ENSMUSG00000052551	0	0	2	0	3	2	0	11	19	14	19	4	12	3
ENSMUSG00000072421	0	0	0	0	0	0	0	2	0	2	0	1	0	1
ENSMUSG00000021147	180	208	328	133	517	436	611	1102	1075	1076	1455	222	240	316
ENSMUSG00000058258	28	25	40	15	211	249	86	120	173	117	268	10	33	41
ENSMUSG00000076030	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000061988	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000021148	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000077484	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096771	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033520	0	0	0	0	5	1	2	9	3	8	9	2	3	2
ENSMUSG00000095414	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000021149	201	224	347	197	907	892	908	1639	1820	1830	2800	338	490	565
ENSMUSG00000033499	943	1177	1563	774	2875	2617	2772	3587	3571	3859	4713	675	999	1082
ENSMUSG00000088442	4	5	7	4	16	9	15	61	53	37	61	11	10	13
ENSMUSG00000099428	2	1	10	0	17	8	20	52	27	25	44	19	9	15
ENSMUSG00000048264	144	153	269	109	655	683	805	1353	1311	1548	1860	346	489	466
ENSMUSG00000097859	2	9	22	7	51	47	82	296	201	193	278	67	76	76
ENSMUSG00000088366	0	0	1	0	0	2	4	3	10	11	2	1	2	5
ENSMUSG00000021156	346	350	566	251	1257	1213	1435	2807	2884	3002	3868	756	877	1020
ENSMUSG00000088609	274	981	272	364	58	525	605	111	321	166	63	87	1130	909
ENSMUSG00000046159	35	93	131	58	32	32	6	13	26	20	19	19	18	24
ENSMUSG00000097009	1	1	7	0	0	1	0	1	3	2	1	3	1	1
ENSMUSG00000093260	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000077618	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021313	4	3	3	2	9	16	16	19	34	37	60	22	26	14
ENSMUSG00000098110	0	0	0	0	0	0	0	2	2	0	0	0	1	0
ENSMUSG00000021311	89	97	173	67	460	399	438	886	857	1009	1231	251	301	358
ENSMUSG00000052374	2	5	32	10	21	16	4	34	933	661	794	187	95	206
ENSMUSG00000094185	0	0	0	0	0	0	0	3	4	1	1	1	0	1
ENSMUSG00000050244	203	206	375	185	1375	1377	1122	1983	2208	2257	3088	397	584	685
ENSMUSG00000057554	121	178	247	141	627	541	764	1167	1103	1399	1728	257	344	407
ENSMUSG00000095105	4	3	10	9	37	23	34	119	147	201	257	8	71	26
ENSMUSG00000057069	194	271	334	193	863	724	494	390	356	467	548	112	82	138
ENSMUSG00000065158	0	0	1	0	2	1	6	9	0	5	1	0	1	0
ENSMUSG00000097715	8	5	21	5	67	60	91	140	107	155	170	49	42	81
ENSMUSG00000088112	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000078141	0	0	1	0	3	1	5	3	6	5	1	3	9	0
ENSMUSG00000056457	0	0	4	2	15	17	20	46	24	30	44	6	18	10
ENSMUSG00000079092	0	0	0	0	0	0	0	0	1	1	0	0	0	0
ENSMUSG00000055360	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000061724	0	3	3	4	11	9	13	26	41	36	42	5	12	9
ENSMUSG00000096198	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084734	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021306	6	18	27	15	45	41	49	143	111	148	161	52	51	93
ENSMUSG00000088470	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094865	0	0	0	0	0	0	0	0	0	1	0	1	0	0
ENSMUSG00000005397	522	560	1015	542	5400	5206	5289	9298	9741	15874	14223	827	4008	2664
ENSMUSG00000019726	176	236	462	156	881	765	1019	2338	2197	2061	2916	652	789	880
ENSMUSG00000021303	2	0	0	0	0	2	4	2	10	13	5	0	2	3
ENSMUSG00000087898	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000039242	223	211	405	159	588	534	604	1156	1272	1109	1432	232	306	364
ENSMUSG00000096192	0	5	6	1	7	8	9	7	17	6	4	2	8	6
ENSMUSG00000039233	82	124	201	83	500	424	488	1052	847	883	1428	254	267	287
ENSMUSG00000021302	161	132	236	152	501	401	426	784	840	810	1232	124	195	232
ENSMUSG00000039219	235	259	452	225	996	834	1134	3041	2666	2587	3719	706	708	797
ENSMUSG00000064653	0	0	3	0	3	2	2	10	11	12	9	1	3	0
ENSMUSG00000077802	0	0	3	0	1	1	4	7	2	6	15	0	1	1
ENSMUSG00000021301	0	0	1	0	0	0	0	2	1	2	1	0	0	1
ENSMUSG00000015672	131	101	140	105	344	285	289	364	413	423	647	43	124	121
ENSMUSG00000015671	392	333	480	322	1593	1391	1280	1637	1931	2118	2816	180	438	570
ENSMUSG00000089624	0	0	0	0	1	2	2	2	6	7	5	0	1	0
ENSMUSG00000039182	78	85	128	71	322	244	232	314	380	418	503	66	93	125
ENSMUSG00000097806	0	1	0	0	4	6	2	14	10	17	14	0	4	3
ENSMUSG00000097684	0	1	1	0	3	5	2	19	23	18	24	1	1	4
ENSMUSG00000021318	24	21	32	21	190	223	177	857	890	1101	1130	87	324	180
ENSMUSG00000041324	0	0	1	0	3	1	3	10	12	10	18	6	7	4
ENSMUSG00000095584	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000055137	3	5	9	0	8	9	7	75	67	46	77	9	32	18
ENSMUSG00000087872	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098218	0	0	0	0	1	1	1	2	2	2	0	2	0	1
ENSMUSG00000094754	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000094665	1	0	0	0	0	0	0	3	0	0	0	0	0	0
ENSMUSG00000012429	27	35	74	41	201	145	198	537	477	459	640	92	126	144
ENSMUSG00000041297	354	366	631	277	1328	1119	1402	2495	2353	2568	3439	490	772	806
ENSMUSG00000080574	0	4	4	0	5	5	13	46	33	19	40	6	10	11
ENSMUSG00000095025	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000081285	0	0	0	1	0	0	0	0	2	1	0	0	1	3
ENSMUSG00000008859	330	254	321	222	707	575	627	1152	1362	1399	1930	124	332	317
ENSMUSG00000075054	45	36	61	30	152	168	144	328	361	359	511	58	81	114
ENSMUSG00000102237	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075053	2	1	1	1	15	5	5	25	34	32	40	2	14	10
ENSMUSG00000009734	0	1	0	0	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000041236	325	335	462	245	944	876	930	1926	1813	1997	2579	385	586	585
ENSMUSG00000089046	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021314	0	0	1	2	5	9	4	19	5	34	29	6	6	7
ENSMUSG00000105715	0	0	0	0	1	0	1	0	1	1	1	0	0	0
ENSMUSG00000076744	0	0	0	0	0	1	0	0	1	2	0	0	0	1
ENSMUSG00000076745	0	0	0	0	2	0	1	1	3	4	2	0	0	0
ENSMUSG00000076746	0	0	0	0	0	0	0	0	0	0	1	1	1	0
ENSMUSG00000076747	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104962	0	0	0	0	0	1	0	1	0	0	0	0	0	0
ENSMUSG00000076749	2	0	3	2	12	4	3	5	9	16	16	2	3	5
ENSMUSG00000076750	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000104630	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000091682	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076752	1	1	4	0	12	5	6	11	11	12	30	10	3	8
ENSMUSG00000105830	0	0	0	0	0	1	1	0	0	0	0	0	0	0
ENSMUSG00000076754	2	1	0	0	2	0	4	4	6	10	5	0	0	5
ENSMUSG00000076755	0	0	0	0	1	0	0	2	1	5	1	1	0	1
ENSMUSG00000098799	0	1	0	0	0	1	1	1	1	1	0	0	0	0
ENSMUSG00000076757	1	2	1	0	4	3	4	10	12	11	15	6	3	5
ENSMUSG00000003062	34	35	70	28	215	168	272	696	635	693	819	83	161	196
ENSMUSG00000105848	0	1	8	2	16	14	21	75	74	61	87	8	11	18
ENSMUSG00000104959	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000002808	9	3	10	3	38	37	38	153	375	265	271	19	72	71
ENSMUSG00000021319	13	8	13	11	41	14	29	158	104	119	123	6	33	30
ENSMUSG00000041138	0	0	0	0	0	0	0	1	0	1	2	0	0	0
ENSMUSG00000047462	3	0	2	3	8	4	13	16	25	32	49	2	3	7
ENSMUSG00000053101	15	7	16	5	17	10	8	38	44	76	84	0	13	16
ENSMUSG00000050243	2	0	0	0	2	1	2	7	7	8	12	2	5	3
ENSMUSG00000041112	52	111	233	82	473	414	392	1037	780	1075	1301	258	216	343
ENSMUSG00000097951	0	0	0	0	0	0	0	1	1	1	0	0	0	1
ENSMUSG00000021322	5	4	10	5	42	28	56	101	129	179	221	30	38	90
ENSMUSG00000088989	0	0	1	0	0	0	1	0	2	2	2	0	0	1
ENSMUSG00000042869	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000060404	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000071522	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000045474	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021326	203	284	352	220	961	791	844	981	1042	1249	1571	179	304	344
ENSMUSG00000004344	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000084414	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000004341	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000045508	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000036721	36	20	44	15	95	94	98	257	278	321	366	75	78	112
ENSMUSG00000081191	0	0	0	0	2	0	1	0	3	1	2	0	0	0
ENSMUSG00000021327	156	227	476	158	953	768	1221	2656	2141	2268	3228	630	639	814
ENSMUSG00000098790	1	1	0	2	2	3	3	4	3	7	18	5	9	5
ENSMUSG00000055313	4	8	13	4	34	11	21	88	95	103	141	16	18	31
ENSMUSG00000085788	1	2	1	1	2	4	7	10	7	10	11	8	2	1
ENSMUSG00000022228	289	396	589	285	1115	1001	1028	1680	1447	1595	2307	577	535	585
ENSMUSG00000084590	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000059395	3	5	3	2	9	7	6	27	15	23	36	3	11	7
ENSMUSG00000054931	5	5	15	4	21	20	19	77	58	86	99	14	22	18
ENSMUSG00000059459	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088563	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000078139	0	0	0	0	0	0	0	1	0	1	0	0	0	0
ENSMUSG00000106748	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106793	0	0	1	0	0	0	0	1	2	0	0	0	0	0
ENSMUSG00000079941	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082396	0	0	1	1	3	1	0	8	5	5	17	2	1	1
ENSMUSG00000063894	121	142	253	112	841	699	761	2040	1723	1819	2447	399	557	591
ENSMUSG00000048996	0	0	0	0	1	2	1	4	1	0	3	0	0	2
ENSMUSG00000054890	0	0	1	0	0	1	0	2	0	1	1	0	1	0
ENSMUSG00000046016	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000051258	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000036658	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000049737	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102130	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101591	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094338	1	2	0	1	14	51	19	21	19	26	11	4	32	66
ENSMUSG00000071516	0	0	0	0	0	1	2	1	1	3	2	0	1	3
ENSMUSG00000105014	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101355	0	3	1	1	4	11	5	10	16	14	5	2	8	14
ENSMUSG00000105238	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000080076	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000096807	2	5	10	5	39	119	56	51	67	118	74	5	80	109
ENSMUSG00000067455	4	13	11	6	15	40	33	22	42	51	17	2	33	52
ENSMUSG00000064288	6	13	5	6	18	61	43	19	49	53	33	4	55	69
ENSMUSG00000063021	1	0	1	1	2	15	10	2	18	9	6	2	14	22
ENSMUSG00000105580	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095217	5	11	5	8	40	148	102	47	73	100	54	8	89	148
ENSMUSG00000085331	0	0	0	0	1	2	0	4	6	4	3	0	1	1
ENSMUSG00000058773	12	12	24	10	242	501	204	683	946	1365	1118	52	298	471
ENSMUSG00000101972	0	8	5	1	7	25	5	14	24	32	11	1	15	30
ENSMUSG00000069309	0	1	1	1	1	0	2	2	0	2	1	0	1	4
ENSMUSG00000106281	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069308	0	0	1	0	3	1	2	5	8	10	11	0	2	7
ENSMUSG00000069307	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000094248	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000105256	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069306	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069305	5	7	8	3	2	26	27	17	28	36	31	1	25	42
ENSMUSG00000094777	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106440	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069303	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000080770	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000088148	0	0	0	0	1	2	0	0	1	0	0	0	0	0
ENSMUSG00000081576	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000105839	0	2	1	2	7	9	1	1	3	1	2	1	0	0
ENSMUSG00000085393	0	0	0	0	0	0	0	0	1	0	2	0	0	0
ENSMUSG00000006720	6	8	8	5	44	51	57	199	177	172	296	46	42	64
ENSMUSG00000078917	1	0	0	0	2	1	4	15	17	8	20	1	6	4
ENSMUSG00000081265	0	0	3	0	8	4	7	24	17	23	34	6	5	8
ENSMUSG00000016982	0	0	0	0	0	0	1	2	1	7	3	0	0	0
ENSMUSG00000006179	13	22	34	10	117	98	80	107	109	143	184	26	24	41
ENSMUSG00000085827	0	1	1	0	0	0	1	3	3	2	3	0	1	0
ENSMUSG00000086508	0	0	0	0	0	0	0	0	0	0	2	1	0	0
ENSMUSG00000043145	0	0	0	0	0	0	0	1	0	0	2	0	1	0
ENSMUSG00000104608	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069302	0	0	0	0	2	1	0	1	5	5	2	0	0	2
ENSMUSG00000062727	4	1	3	2	5	46	18	11	29	43	15	3	37	30
ENSMUSG00000060639	6	7	14	2	22	26	29	66	44	73	65	8	17	36
ENSMUSG00000069301	0	0	0	0	0	0	0	2	2	0	0	0	2	2
ENSMUSG00000105433	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069300	9	6	6	4	10	44	17	22	37	51	28	2	24	44
ENSMUSG00000083873	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000082869	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084072	0	1	0	0	0	0	0	2	0	1	2	0	0	0
ENSMUSG00000076237	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069299	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081334	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099611	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000081469	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083167	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089973	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083319	0	0	0	0	0	0	0	0	0	0	1	0	0	1
ENSMUSG00000083348	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095916	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099787	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096817	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000095684	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000046932	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069297	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069296	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084038	6	5	8	2	40	36	7	53	291	43	125	5	32	38
ENSMUSG00000069295	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ENSMUSG00000082785	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069294	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095125	0	0	0	0	3	0	0	0	0	1	1	0	0	0
ENSMUSG00000069292	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000081080	0	0	0	0	0	1	0	1	0	0	0	0	0	0
ENSMUSG00000101073	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000084924	0	0	0	0	0	0	1	1	0	0	2	0	0	0
ENSMUSG00000081283	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000083940	0	0	0	1	0	0	0	0	1	1	1	0	0	0
ENSMUSG00000094898	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081717	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000080697	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081495	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094379	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087688	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069289	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094637	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100296	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101578	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081914	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083413	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082178	0	0	0	0	0	0	1	0	0	0	1	1	0	0
ENSMUSG00000083673	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000085221	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084136	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082540	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081531	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000080730	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000071493	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087643	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000071491	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000061296	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083297	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000063998	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082037	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089615	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000071490	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094264	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082340	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082268	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094485	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081060	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000079064	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000060024	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082656	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000061829	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083124	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099917	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000057799	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000080861	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081912	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094600	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084315	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000060490	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000061376	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096099	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000080794	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082316	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000061022	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069280	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082593	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084096	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085488	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085122	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000080698	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087097	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000046351	126	171	210	160	620	549	597	1159	1056	1309	1686	215	280	350
ENSMUSG00000083667	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000036376	40	51	67	39	157	141	173	179	169	198	233	39	89	75
ENSMUSG00000085024	2	3	8	5	6	4	5	20	15	23	24	3	6	8
ENSMUSG00000000706	25612	33144	43640	22164	66246	59192	53184	5265	2751	5106	4169	1946	145	2314
ENSMUSG00000053216	23	67	117	65	234	214	182	66	47	69	84	23	2	42
ENSMUSG00000104750	0	0	1	1	1	1	1	0	1	0	0	0	0	1
ENSMUSG00000085016	1	2	4	4	3	3	2	16	16	23	28	3	7	3
ENSMUSG00000060981	54	73	54	55	53	143	202	48	94	107	47	21	204	210
ENSMUSG00000061991	0	2	2	0	0	9	4	13	11	14	7	0	11	14
ENSMUSG00000105109	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099517	1	0	0	0	7	25	8	12	18	28	17	2	28	25
ENSMUSG00000064168	2	6	6	7	20	61	36	55	68	91	47	8	42	65
ENSMUSG00000100210	15	10	15	6	17	65	51	35	42	49	25	3	39	62
ENSMUSG00000069274	11	17	16	7	31	127	79	59	80	108	48	15	107	155
ENSMUSG00000052565	70	123	136	77	239	585	437	471	636	864	502	83	353	652
ENSMUSG00000069273	11	16	21	12	33	66	84	27	27	51	24	9	69	89
ENSMUSG00000069272	0	1	0	1	0	8	12	12	16	7	4	0	4	9
ENSMUSG00000104771	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000058385	19	29	30	28	63	182	157	46	78	110	79	28	172	260
ENSMUSG00000069268	2	4	3	2	11	34	24	9	19	24	9	0	20	50
ENSMUSG00000071478	0	0	0	1	1	1	1	2	3	2	2	0	1	2
ENSMUSG00000105924	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099583	2	4	4	1	10	27	19	20	41	68	33	2	33	36
ENSMUSG00000061482	180	214	173	127	193	582	472	106	203	272	130	59	437	419
ENSMUSG00000047246	32	43	42	18	98	129	101	156	185	174	171	18	97	99
ENSMUSG00000080741	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051627	455	478	486	306	787	1065	901	1121	1259	1963	1541	118	474	645
ENSMUSG00000084753	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088030	0	0	0	0	0	0	0	0	2	0	1	0	0	0
