Geneid	L10_WT1	L10_WT2	L10_WT3	L10_WT4	p6_WT1	p6_WT2	p6_WT4
ENSMUSG00000077601	0	0	0	0	0	0	0
ENSMUSG00000059288	79	76	126	54	86	163	168
ENSMUSG00000065178	0	0	0	0	0	0	0
ENSMUSG00000021418	33	31	45	17	36	75	84
ENSMUSG00000050423	0	2	0	0	0	0	0
ENSMUSG00000046573	32	28	38	33	50	45	63
ENSMUSG00000021420	122	120	179	105	154	227	207
ENSMUSG00000077282	0	0	0	0	0	0	0
ENSMUSG00000039114	3	1	3	1	10	23	8
ENSMUSG00000039109	156	66	192	108	243	588	844
ENSMUSG00000021423	17	21	37	16	13	55	70
ENSMUSG00000100760	0	0	0	0	0	1	0
ENSMUSG00000100932	0	0	0	0	1	2	1
ENSMUSG00000099847	1	0	0	0	0	0	1
ENSMUSG00000100022	1	3	4	2	1	3	1
ENSMUSG00000102924	0	1	0	0	0	1	0
ENSMUSG00000039087	515	654	1206	567	689	835	1106
ENSMUSG00000021427	1108	1085	1327	882	834	1389	1476
ENSMUSG00000044566	10	11	24	13	33	26	31
ENSMUSG00000021428	50	90	130	77	170	220	252
ENSMUSG00000098481	0	0	0	0	0	0	0
ENSMUSG00000103789	0	1	0	0	0	4	1
ENSMUSG00000054889	136	185	213	144	317	2161	753
ENSMUSG00000021431	55	49	82	24	145	162	172
ENSMUSG00000039004	17	17	29	8	19	45	17
ENSMUSG00000038991	1011	894	1146	704	516	1144	1364
ENSMUSG00000038982	53	55	76	43	53	102	120
ENSMUSG00000001707	329	317	547	339	63	89	131
ENSMUSG00000087909	0	0	0	0	0	0	0
ENSMUSG00000021432	100	112	247	110	114	119	136
ENSMUSG00000097151	12	25	63	14	57	44	77
ENSMUSG00000096932	0	0	3	2	6	4	9
ENSMUSG00000103605	0	0	0	0	0	0	0
ENSMUSG00000065256	0	0	0	0	0	0	0
ENSMUSG00000047094	0	3	1	1	6	4	6
ENSMUSG00000055732	0	0	0	0	0	0	0
ENSMUSG00000021359	50	51	79	38	180	111	146
ENSMUSG00000097752	4	2	9	3	19	12	31
ENSMUSG00000104458	0	1	2	0	2	0	0
ENSMUSG00000090475	0	0	0	0	1	0	0
ENSMUSG00000021360	59	50	86	44	140	172	182
ENSMUSG00000093269	0	0	0	0	3	0	0
ENSMUSG00000086693	0	1	4	3	8	8	9
ENSMUSG00000038683	119	137	179	105	156	249	290
ENSMUSG00000021361	348	317	441	286	133	316	386
ENSMUSG00000021363	0	2	3	0	5	2	4
ENSMUSG00000021362	0	0	0	0	0	0	0
ENSMUSG00000038651	0	0	0	0	5	8	0
ENSMUSG00000021364	0	0	0	0	0	0	0
ENSMUSG00000091264	74	76	118	62	71	189	192
ENSMUSG00000090853	0	0	0	0	0	0	0
ENSMUSG00000021365	219	132	231	131	385	330	573
ENSMUSG00000097373	1	0	1	0	0	0	6
ENSMUSG00000092835	0	0	0	0	0	0	0
ENSMUSG00000087370	130	178	259	91	185	314	357
ENSMUSG00000054258	0	0	0	0	0	0	3
ENSMUSG00000058022	8	1	4	4	19	48	15
ENSMUSG00000085759	0	0	0	0	0	0	0
ENSMUSG00000099672	0	0	0	0	0	0	0
ENSMUSG00000103479	0	0	0	0	0	0	0
ENSMUSG00000089035	0	0	0	0	0	0	0
ENSMUSG00000100071	0	0	0	0	0	2	2
ENSMUSG00000021366	405	438	779	297	478	792	721
ENSMUSG00000021367	8	10	16	7	52	59	78
ENSMUSG00000095255	0	0	0	0	0	0	0
ENSMUSG00000054728	197	369	464	253	36	72	76
ENSMUSG00000089710	0	0	0	0	0	0	0
ENSMUSG00000085276	0	1	0	1	4	4	4
ENSMUSG00000090135	0	0	0	1	0	1	1
ENSMUSG00000088527	0	0	0	0	0	2	0
ENSMUSG00000087202	0	0	1	0	2	2	1
ENSMUSG00000021368	38	28	47	29	37	54	60
ENSMUSG00000051335	65	50	90	22	128	127	141
ENSMUSG00000054021	33	38	52	29	61	78	100
ENSMUSG00000063200	123	94	159	91	113	210	245
ENSMUSG00000038546	265	313	545	251	299	433	503
ENSMUSG00000065315	0	1	3	1	1	5	2
ENSMUSG00000021371	231	220	308	174	169	387	294
ENSMUSG00000044164	0	0	2	0	3	11	15
ENSMUSG00000015396	18	8	11	9	11	31	46
ENSMUSG00000089107	0	0	0	0	0	0	0
ENSMUSG00000089815	0	0	0	0	0	0	0
ENSMUSG00000098107	0	0	0	0	0	0	0
ENSMUSG00000098124	0	0	0	0	0	0	0
ENSMUSG00000098144	0	0	0	0	0	0	0
ENSMUSG00000038518	259	298	402	217	1267	840	1005
ENSMUSG00000088189	0	1	0	2	4	2	8
ENSMUSG00000057531	74	61	88	31	132	249	242
ENSMUSG00000065656	0	0	0	0	0	0	0
ENSMUSG00000078915	0	0	0	0	0	2	1
ENSMUSG00000047061	0	0	0	0	2	2	0
ENSMUSG00000098136	0	0	0	0	0	0	0
ENSMUSG00000088203	0	0	0	0	0	0	0
ENSMUSG00000038175	186	142	302	147	313	259	413
ENSMUSG00000089211	0	0	0	0	0	0	0
ENSMUSG00000000253	3	9	14	10	40	59	56
ENSMUSG00000046876	275	458	677	264	587	816	798
ENSMUSG00000038152	2	4	4	3	7	10	8
ENSMUSG00000062282	0	0	0	0	1	0	1
ENSMUSG00000063529	3	1	2	0	0	1	5
ENSMUSG00000038132	5	3	16	3	29	62	42
ENSMUSG00000021373	4	6	9	3	55	108	70
ENSMUSG00000087913	0	0	0	0	0	0	0
ENSMUSG00000069237	931	1036	1422	806	180	405	382
ENSMUSG00000021374	313	360	605	287	485	839	999
ENSMUSG00000021375	313	403	584	253	664	754	884
ENSMUSG00000064558	0	2	1	2	8	2	8
ENSMUSG00000084466	0	0	1	0	2	1	1
ENSMUSG00000089131	0	0	0	0	0	1	0
ENSMUSG00000051606	1	0	2	0	2	0	0
ENSMUSG00000044231	13	15	39	9	11	30	16
ENSMUSG00000021376	28	23	28	17	20	44	27
ENSMUSG00000038080	187	215	344	147	167	227	271
ENSMUSG00000021377	282	166	271	178	385	669	826
ENSMUSG00000038068	283	193	281	120	120	120	224
ENSMUSG00000047324	0	0	0	0	0	2	1
ENSMUSG00000097622	0	0	2	0	0	11	12
ENSMUSG00000021379	17	9	16	9	33	490	159
ENSMUSG00000097326	0	0	0	0	0	3	0
ENSMUSG00000050954	22	31	59	23	141	163	162
ENSMUSG00000053181	0	0	0	0	1	1	0
ENSMUSG00000097375	77	118	225	68	182	229	310
ENSMUSG00000065453	0	0	0	0	0	0	0
ENSMUSG00000093232	1	0	0	0	0	0	0
ENSMUSG00000105621	0	0	0	0	0	0	0
ENSMUSG00000065421	3	0	8	2	7	11	8
ENSMUSG00000103373	28	54	107	33	96	125	156
ENSMUSG00000095214	0	0	0	0	0	0	0
ENSMUSG00000038042	10	9	29	16	61	109	83
ENSMUSG00000021381	0	0	0	0	0	0	0
ENSMUSG00000038025	275	330	488	173	421	563	615
ENSMUSG00000086889	2	5	6	3	12	13	15
ENSMUSG00000038014	1885	1954	2585	1378	1164	2034	2187
ENSMUSG00000097059	7	13	23	17	11	32	28
ENSMUSG00000037989	20	13	38	11	302	359	331
ENSMUSG00000037966	66	58	96	60	34	75	97
ENSMUSG00000037960	37	41	47	32	20	36	71
ENSMUSG00000021384	169	50	86	48	16	10	17
ENSMUSG00000037946	52	34	60	25	94	45	165
ENSMUSG00000037933	239	240	450	159	396	588	717
ENSMUSG00000021385	248	275	433	244	110	138	199
ENSMUSG00000021391	10	13	18	4	25	32	56
ENSMUSG00000096252	2	2	3	2	4	5	8
ENSMUSG00000043631	35	22	52	24	101	138	153
ENSMUSG00000021388	82	64	129	74	75	174	148
ENSMUSG00000048368	5	3	4	5	9	21	33
ENSMUSG00000021390	126	63	128	77	136	450	382
ENSMUSG00000021392	186	171	238	142	253	304	309
ENSMUSG00000037851	449	683	970	554	539	612	787
ENSMUSG00000087963	23	16	65	30	30	22	19
ENSMUSG00000077360	1	0	2	1	2	1	3
ENSMUSG00000069236	0	0	1	0	1	3	2
ENSMUSG00000093976	0	0	0	0	0	0	0
ENSMUSG00000094886	0	0	0	0	0	0	0
ENSMUSG00000090497	0	0	0	0	0	0	0
ENSMUSG00000095849	0	0	0	0	0	0	0
ENSMUSG00000095300	0	0	0	0	0	0	0
ENSMUSG00000095027	0	0	0	0	0	0	0
ENSMUSG00000101136	0	0	0	0	0	0	0
ENSMUSG00000037816	12	8	23	9	81	125	166
ENSMUSG00000071909	0	0	0	0	0	0	0
ENSMUSG00000095697	0	0	0	0	0	0	0
ENSMUSG00000094933	0	0	0	0	0	0	0
ENSMUSG00000096641	0	0	0	0	0	0	0
ENSMUSG00000095380	0	0	0	0	0	0	0
ENSMUSG00000094918	0	0	0	0	0	0	0
ENSMUSG00000084609	0	0	0	0	0	0	0
ENSMUSG00000021395	298	272	459	216	410	805	774
ENSMUSG00000021396	0	0	0	1	0	2	1
ENSMUSG00000091383	0	0	0	0	0	0	0
ENSMUSG00000106200	0	0	0	0	0	0	0
ENSMUSG00000067586	20	32	49	10	68	102	57
ENSMUSG00000021448	1	1	3	1	4	4	4
ENSMUSG00000062248	12	6	11	7	17	43	56
ENSMUSG00000064672	1	0	0	0	2	4	4
ENSMUSG00000035139	143	163	209	106	233	215	277
ENSMUSG00000051107	12	24	48	11	16	24	42
ENSMUSG00000021451	221	416	651	239	229	226	439
ENSMUSG00000092648	0	0	0	0	0	0	0
ENSMUSG00000021453	42	89	85	72	35	58	43
ENSMUSG00000097495	0	0	1	0	2	0	1
ENSMUSG00000102173	0	0	0	0	0	0	0
ENSMUSG00000047842	4	5	10	2	7	14	24
ENSMUSG00000021457	59	110	199	68	144	225	246
ENSMUSG00000021460	184	155	223	140	198	237	274
ENSMUSG00000065771	0	0	0	0	0	0	0
ENSMUSG00000056749	37	16	46	22	29	78	27
ENSMUSG00000021464	4	7	8	0	16	77	54
ENSMUSG00000021468	301	240	347	211	200	292	326
ENSMUSG00000107008	0	1	0	0	0	1	0
ENSMUSG00000107305	0	0	0	0	0	0	0
ENSMUSG00000021469	1	3	1	1	21	63	19
ENSMUSG00000063166	0	0	0	0	0	0	0
ENSMUSG00000021478	0	0	1	0	1	3	0
ENSMUSG00000021474	298	197	301	177	382	587	526
ENSMUSG00000034987	1	0	9	2	13	10	14
ENSMUSG00000090016	0	0	0	0	1	1	3
ENSMUSG00000025867	13	7	28	10	63	133	140
ENSMUSG00000086137	0	0	0	0	0	0	0
ENSMUSG00000089341	0	0	0	0	0	0	0
ENSMUSG00000025872	160	133	142	96	153	256	231
ENSMUSG00000086567	19	10	16	7	42	39	51
ENSMUSG00000043183	39	47	82	41	109	136	158
ENSMUSG00000025871	742	697	982	557	268	603	500
ENSMUSG00000025870	6	5	17	7	58	73	68
ENSMUSG00000080454	0	1	0	1	1	2	2
ENSMUSG00000025869	68	68	91	53	83	172	200
ENSMUSG00000025868	164	157	180	126	59	145	165
ENSMUSG00000047547	171	149	210	111	130	259	279
ENSMUSG00000025873	237	252	332	170	235	419	436
ENSMUSG00000034928	144	163	262	105	404	390	452
ENSMUSG00000034918	9	1	2	0	1	1	0
ENSMUSG00000069227	1	1	2	1	3	8	7
ENSMUSG00000034891	0	0	0	0	0	0	0
ENSMUSG00000084949	0	0	0	0	0	0	0
ENSMUSG00000074895	0	0	0	0	0	0	0
ENSMUSG00000025875	19	20	22	12	79	85	97
ENSMUSG00000086097	0	0	0	0	0	0	0
ENSMUSG00000100728	0	0	0	0	0	0	0
ENSMUSG00000085896	0	0	0	0	0	2	0
ENSMUSG00000087335	0	0	0	1	0	1	3
ENSMUSG00000025876	48	53	77	32	58	137	175
ENSMUSG00000025877	2	4	10	2	25	42	77
ENSMUSG00000025878	207	234	393	191	353	323	390
ENSMUSG00000094446	0	0	1	0	0	0	0
ENSMUSG00000021481	42	43	59	28	108	138	137
ENSMUSG00000091768	0	0	0	0	0	0	0
ENSMUSG00000005320	1	0	1	0	4	2	1
ENSMUSG00000021488	910	1337	2194	926	2830	3295	3748
ENSMUSG00000034789	124	142	214	83	239	206	252
ENSMUSG00000021486	518	474	629	383	168	478	482
ENSMUSG00000021485	1	1	3	0	9	22	38
ENSMUSG00000021484	634	566	737	473	585	1235	1147
ENSMUSG00000052087	1	2	4	1	15	20	22
ENSMUSG00000021490	0	0	0	1	0	0	0
ENSMUSG00000044444	0	0	0	0	0	0	0
ENSMUSG00000021492	0	0	0	0	1	0	0
ENSMUSG00000074886	140	161	246	123	328	462	567
ENSMUSG00000099058	0	0	0	0	0	0	1
ENSMUSG00000034686	1	1	2	0	0	6	4
ENSMUSG00000034675	16	24	27	15	58	305	160
ENSMUSG00000098341	0	0	0	0	0	0	0
ENSMUSG00000021493	41	67	83	34	119	250	185
ENSMUSG00000099096	0	0	0	0	0	0	0
ENSMUSG00000035711	10	12	14	6	21	27	33
ENSMUSG00000021494	125	102	145	82	160	270	267
ENSMUSG00000021495	135	282	389	120	676	492	586
ENSMUSG00000058569	444	495	536	316	247	449	505
ENSMUSG00000021504	70	65	118	66	64	97	119
ENSMUSG00000086506	4	3	6	1	6	6	10
ENSMUSG00000021501	93	113	146	90	91	129	172
ENSMUSG00000021500	316	295	437	221	641	698	810
ENSMUSG00000045767	443	415	521	308	375	715	774
ENSMUSG00000021497	137	136	165	107	86	214	186
ENSMUSG00000021496	31	26	30	18	7	27	23
ENSMUSG00000069223	0	1	3	0	5	8	9
ENSMUSG00000021499	0	0	1	1	6	2	3
ENSMUSG00000021506	0	0	0	0	1	1	1
ENSMUSG00000100096	0	0	0	0	0	0	0
ENSMUSG00000015937	142	161	269	113	428	748	698
ENSMUSG00000077799	0	0	0	0	0	0	0
ENSMUSG00000049625	9	12	22	13	22	43	53
ENSMUSG00000097361	0	0	0	0	0	0	0
ENSMUSG00000048904	0	0	0	0	0	1	0
ENSMUSG00000021508	531	370	437	296	144	335	554
ENSMUSG00000088149	0	0	0	0	0	0	0
ENSMUSG00000074885	0	0	1	0	0	0	0
ENSMUSG00000021509	55	39	72	26	8	15	15
ENSMUSG00000021538	1	0	0	1	0	0	0
ENSMUSG00000035509	3	3	5	1	9	13	19
ENSMUSG00000021539	0	0	1	0	0	0	0
ENSMUSG00000035493	90	63	166	77	219	402	667
ENSMUSG00000098962	0	0	0	0	0	0	0
ENSMUSG00000021540	271	253	507	217	654	1158	1044
ENSMUSG00000098614	0	0	0	0	1	0	0
ENSMUSG00000098732	0	0	0	0	1	0	0
ENSMUSG00000098328	1	2	3	0	4	1	11
ENSMUSG00000021541	0	0	0	0	0	1	0
ENSMUSG00000077279	0	0	0	0	0	0	0
ENSMUSG00000056222	2	0	0	0	5	5	5
ENSMUSG00000014164	2	3	4	3	34	28	21
ENSMUSG00000077962	0	0	0	0	1	1	1
ENSMUSG00000007836	96	76	133	56	216	544	424
ENSMUSG00000097717	0	0	0	0	0	0	0
ENSMUSG00000050002	44	50	86	45	76	109	98
ENSMUSG00000005312	956	982	1312	807	553	1071	1105
ENSMUSG00000021552	73	73	95	68	91	119	147
ENSMUSG00000097399	0	0	2	0	1	3	4
ENSMUSG00000060176	0	1	2	2	15	30	23
ENSMUSG00000098258	0	0	0	0	0	0	0
ENSMUSG00000077428	0	0	0	0	0	0	0
ENSMUSG00000021550	176	143	232	116	101	215	212
ENSMUSG00000021546	1545	1455	2074	1232	1368	2471	2734
ENSMUSG00000065434	6	2	10	3	12	7	13
ENSMUSG00000035367	36	41	60	36	36	67	60
ENSMUSG00000021553	10364	14053	20719	12059	276	60	485
ENSMUSG00000055254	46	30	87	29	323	787	434
ENSMUSG00000021557	201	247	359	169	419	424	457
ENSMUSG00000021555	51	68	133	56	202	281	295
ENSMUSG00000021556	217	173	248	138	134	179	215
ENSMUSG00000049902	0	0	0	0	0	0	0
ENSMUSG00000050876	0	0	0	0	0	0	4
ENSMUSG00000091311	0	0	0	0	0	0	3
ENSMUSG00000043986	0	0	0	0	0	1	0
ENSMUSG00000097502	1	0	0	0	0	0	0
ENSMUSG00000051054	2	1	1	0	2	0	1
ENSMUSG00000044792	423	342	425	249	108	219	195
ENSMUSG00000089875	12	18	24	5	24	32	46
ENSMUSG00000035248	399	415	638	326	723	850	864
ENSMUSG00000052957	67	59	79	35	110	352	313
ENSMUSG00000050765	0	1	0	0	0	0	0
ENSMUSG00000080668	0	0	0	0	0	0	0
ENSMUSG00000080666	0	0	0	0	0	0	0
ENSMUSG00000021559	696	1061	1366	697	1255	1106	1556
ENSMUSG00000096874	0	0	0	0	0	0	0
ENSMUSG00000042243	0	0	0	0	0	0	0
ENSMUSG00000056728	0	0	0	0	0	0	0
ENSMUSG00000050345	2	4	3	3	6	0	3
ENSMUSG00000074874	15	12	18	13	16	24	23
ENSMUSG00000062705	0	0	0	0	0	0	0
ENSMUSG00000084451	0	0	0	0	0	0	0
ENSMUSG00000044258	127	110	188	98	71	137	121
ENSMUSG00000033834	0	0	0	0	0	0	0
ENSMUSG00000055298	0	0	0	0	0	0	0
ENSMUSG00000021439	0	0	0	0	0	0	0
ENSMUSG00000055679	0	0	0	0	0	0	0
ENSMUSG00000021441	0	0	0	0	0	0	0
ENSMUSG00000057446	0	0	0	0	0	0	0
ENSMUSG00000098860	0	0	0	0	0	0	0
ENSMUSG00000021440	0	0	0	0	0	0	0
ENSMUSG00000074871	0	0	0	0	0	0	0
ENSMUSG00000074870	0	0	0	0	0	0	0
ENSMUSG00000095905	0	0	0	0	0	0	0
ENSMUSG00000096212	0	0	0	0	0	0	0
ENSMUSG00000080451	0	0	1	0	0	0	1
ENSMUSG00000059511	0	0	0	0	1	1	6
ENSMUSG00000094096	0	0	0	0	0	0	0
ENSMUSG00000074868	0	1	1	0	8	6	8
ENSMUSG00000074867	3	3	4	3	22	28	37
ENSMUSG00000095111	0	0	0	0	2	1	2
ENSMUSG00000093874	0	0	0	0	5	3	1
ENSMUSG00000094942	4	4	4	4	19	27	22
ENSMUSG00000095876	0	0	0	0	0	0	0
ENSMUSG00000089002	0	0	0	0	0	1	0
ENSMUSG00000055228	27	31	41	15	54	74	90
ENSMUSG00000076246	0	0	0	0	0	0	0
ENSMUSG00000074865	0	0	5	0	10	14	20
ENSMUSG00000092062	0	0	0	0	5	5	3
ENSMUSG00000096563	0	0	0	0	4	2	6
ENSMUSG00000094815	1	0	0	0	1	1	2
ENSMUSG00000072066	2	3	2	1	8	24	24
ENSMUSG00000095020	0	1	0	0	0	0	0
ENSMUSG00000074863	0	0	3	1	11	20	19
ENSMUSG00000096098	0	0	0	0	0	0	1
ENSMUSG00000091183	3	1	8	5	23	37	57
ENSMUSG00000095895	0	0	0	0	0	1	1
ENSMUSG00000080346	0	0	0	0	1	2	0
ENSMUSG00000095825	0	0	0	0	0	0	0
ENSMUSG00000021456	2	0	2	1	3	14	11
ENSMUSG00000069805	1	0	0	0	0	2	1
ENSMUSG00000021458	164	243	507	170	512	406	493
ENSMUSG00000097242	15	58	121	46	115	147	177
ENSMUSG00000065599	1	1	8	1	7	6	11
ENSMUSG00000065475	1	6	10	2	19	6	18
ENSMUSG00000092741	2	1	6	3	6	2	6
ENSMUSG00000105904	0	0	0	0	0	0	0
ENSMUSG00000021461	43	34	101	39	164	167	236
ENSMUSG00000089854	0	0	1	0	5	3	4
ENSMUSG00000090232	0	1	2	2	2	7	7
ENSMUSG00000089868	0	0	0	0	0	0	0
ENSMUSG00000021466	83	131	211	67	298	371	357
ENSMUSG00000102282	0	1	0	1	0	1	0
ENSMUSG00000021470	113	108	182	100	256	320	408
ENSMUSG00000033122	0	0	0	0	0	0	0
ENSMUSG00000033114	35	38	64	37	40	40	58
ENSMUSG00000044934	47	40	72	36	138	241	264
ENSMUSG00000021476	73	46	75	36	64	91	101
ENSMUSG00000033102	46	37	76	19	84	80	116
ENSMUSG00000097101	5	8	14	3	13	15	31
ENSMUSG00000021482	208	163	224	103	63	132	120
ENSMUSG00000089092	0	0	2	0	0	1	2
ENSMUSG00000021477	2267	1793	2199	1407	366	1043	1110
ENSMUSG00000021483	18	14	30	8	21	45	35
ENSMUSG00000096537	0	0	0	0	0	0	0
ENSMUSG00000094597	0	0	0	0	0	0	0
ENSMUSG00000033063	2	1	1	0	0	0	1
ENSMUSG00000056223	0	0	0	0	0	0	0
ENSMUSG00000074849	0	0	0	0	0	0	0
ENSMUSG00000090658	0	0	0	0	0	0	0
ENSMUSG00000038212	453	411	536	308	241	380	501
ENSMUSG00000049806	0	0	0	0	0	0	0
ENSMUSG00000089161	0	0	0	0	1	0	0
ENSMUSG00000032999	0	0	1	0	0	0	2
ENSMUSG00000074847	0	0	0	0	2	1	2
ENSMUSG00000021514	44	51	89	36	221	286	304
ENSMUSG00000096536	0	0	0	0	0	0	0
ENSMUSG00000063905	0	0	0	0	0	0	0
ENSMUSG00000095692	0	0	0	0	0	0	0
ENSMUSG00000097562	0	0	0	0	0	0	0
ENSMUSG00000097066	0	0	0	0	0	0	0
ENSMUSG00000074841	0	0	0	0	0	0	0
ENSMUSG00000055763	0	1	0	0	2	1	1
ENSMUSG00000095909	0	0	0	0	0	0	0
ENSMUSG00000097118	0	0	0	0	0	0	0
ENSMUSG00000091347	0	0	0	0	0	0	0
ENSMUSG00000097849	0	0	0	0	0	0	0
ENSMUSG00000097659	0	0	0	0	0	0	0
ENSMUSG00000094499	0	0	0	0	0	0	0
ENSMUSG00000074832	0	0	0	0	0	0	0
ENSMUSG00000097483	0	0	0	0	0	0	0
ENSMUSG00000098452	0	0	0	0	0	0	0
ENSMUSG00000074830	0	0	0	0	0	0	0
ENSMUSG00000095206	0	0	0	0	0	0	0
ENSMUSG00000094740	0	0	0	0	0	0	0
ENSMUSG00000071295	0	0	0	0	0	0	0
ENSMUSG00000071294	0	0	0	0	0	0	0
ENSMUSG00000095847	0	0	1	0	2	0	4
ENSMUSG00000021520	384	376	534	360	138	334	337
ENSMUSG00000074826	4	5	12	7	10	17	15
ENSMUSG00000021519	88	85	150	79	144	175	196
ENSMUSG00000021518	344	286	391	229	243	406	468
ENSMUSG00000090641	13	17	27	14	24	43	52
ENSMUSG00000058883	0	0	0	0	0	4	0
ENSMUSG00000100235	10	7	12	2	14	22	28
ENSMUSG00000074824	3	3	7	1	11	20	24
ENSMUSG00000057396	38	28	35	27	55	75	81
ENSMUSG00000058900	12	15	15	15	52	46	60
ENSMUSG00000051037	9	4	13	10	22	33	55
ENSMUSG00000055480	13	11	25	13	61	56	69
ENSMUSG00000055341	0	2	8	6	13	7	14
ENSMUSG00000057842	27	35	53	20	81	93	116
ENSMUSG00000098781	0	1	0	0	1	0	0
ENSMUSG00000098905	38	37	53	41	60	65	76
ENSMUSG00000098692	0	1	0	0	3	2	2
ENSMUSG00000092103	1	1	6	0	8	7	10
ENSMUSG00000078995	4	3	7	2	28	21	43
ENSMUSG00000078994	21	25	37	21	50	49	63
ENSMUSG00000055560	7	11	18	11	17	23	39
ENSMUSG00000069206	119	112	138	90	88	122	139
ENSMUSG00000103398	0	2	0	0	2	2	6
ENSMUSG00000097244	0	0	0	0	0	1	0
ENSMUSG00000059839	75	59	89	40	100	105	143
ENSMUSG00000071291	11	10	32	15	34	38	56
ENSMUSG00000097565	0	0	0	0	0	0	0
ENSMUSG00000097333	36	46	71	40	69	110	115
ENSMUSG00000095432	60	68	117	50	115	203	245
ENSMUSG00000097360	0	5	3	1	1	2	4
ENSMUSG00000058093	117	86	155	92	145	167	220
ENSMUSG00000103283	4	8	8	2	22	17	28
ENSMUSG00000021510	88	84	128	84	142	196	279
ENSMUSG00000097470	6	8	10	10	18	19	35
ENSMUSG00000048280	54	66	119	54	186	218	241
ENSMUSG00000097371	1	0	0	0	0	0	1
ENSMUSG00000071281	60	65	80	66	115	166	211
ENSMUSG00000044081	1	2	9	2	6	8	10
ENSMUSG00000058331	18	9	23	9	25	54	54
ENSMUSG00000052909	0	0	0	0	0	0	0
ENSMUSG00000090659	9	16	19	10	31	36	47
ENSMUSG00000097276	5	5	8	3	24	14	20
ENSMUSG00000097906	8	22	13	13	15	34	43
ENSMUSG00000030446	16	16	21	15	36	55	60
ENSMUSG00000058246	0	1	2	2	5	6	2
ENSMUSG00000064063	0	0	0	0	0	0	0
ENSMUSG00000034617	109	108	158	86	134	156	181
ENSMUSG00000021532	32	38	75	20	60	66	105
ENSMUSG00000021534	1	0	0	0	1	1	1
ENSMUSG00000021536	5	6	15	1	13	20	27
ENSMUSG00000098242	0	0	0	0	0	0	0
ENSMUSG00000103035	0	0	0	0	0	0	0
ENSMUSG00000097522	0	0	0	0	0	0	0
ENSMUSG00000098227	0	0	0	0	0	1	0
ENSMUSG00000106556	0	0	0	0	0	0	0
ENSMUSG00000034575	80	104	144	72	127	188	254
ENSMUSG00000021595	508	396	630	333	491	704	862
ENSMUSG00000051805	0	1	2	0	2	2	0
ENSMUSG00000021594	8	9	12	12	23	32	27
ENSMUSG00000091133	1	2	7	7	6	7	15
ENSMUSG00000052981	0	0	0	0	1	0	1
ENSMUSG00000021598	0	0	0	0	1	2	1
ENSMUSG00000097033	12	19	31	8	40	42	49
ENSMUSG00000099639	0	0	0	0	0	0	0
ENSMUSG00000106920	0	0	0	0	0	0	2
ENSMUSG00000077594	0	0	0	0	0	0	0
ENSMUSG00000101051	0	0	1	0	0	1	1
ENSMUSG00000034525	243	339	531	203	774	894	885
ENSMUSG00000049538	0	0	2	1	2	8	1
ENSMUSG00000021600	0	0	0	0	0	0	0
ENSMUSG00000102303	0	0	0	0	1	0	1
ENSMUSG00000080580	0	0	0	0	0	0	0
ENSMUSG00000060969	165	192	213	100	269	395	849
ENSMUSG00000094989	3	0	0	0	0	0	3
ENSMUSG00000093587	107	188	272	90	74	62	121
ENSMUSG00000001504	3384	3352	4734	2283	678	858	1302
ENSMUSG00000021604	20	23	23	14	48	285	140
ENSMUSG00000066407	0	5	1	0	2	3	1
ENSMUSG00000021606	177	130	216	121	50	137	129
ENSMUSG00000021607	88	75	123	66	61	97	138
ENSMUSG00000021608	28	16	67	26	176	346	358
ENSMUSG00000021609	0	0	0	0	0	1	0
ENSMUSG00000021610	1389	1442	1889	1073	387	645	650
ENSMUSG00000021611	5	5	7	7	88	62	104
ENSMUSG00000021612	0	0	0	0	0	1	0
ENSMUSG00000021565	0	0	0	0	1	2	2
ENSMUSG00000021566	0	0	0	0	0	0	0
ENSMUSG00000017756	72	74	156	54	450	427	438
ENSMUSG00000021567	1	1	9	6	51	254	98
ENSMUSG00000066714	0	0	0	1	0	2	0
ENSMUSG00000021569	9	12	23	3	38	58	58
ENSMUSG00000095943	0	1	0	0	0	0	1
ENSMUSG00000057649	78	101	154	68	268	255	274
ENSMUSG00000069189	0	0	0	0	0	0	0
ENSMUSG00000063180	0	0	0	0	0	0	0
ENSMUSG00000085881	1	1	1	1	4	3	3
ENSMUSG00000021573	37	49	72	44	73	154	80
ENSMUSG00000080966	2	0	1	0	4	4	5
ENSMUSG00000021572	3	2	6	6	18	39	39
ENSMUSG00000036123	0	0	1	0	0	3	0
ENSMUSG00000034152	174	201	341	140	284	467	483
ENSMUSG00000021575	0	2	7	0	0	8	4
ENSMUSG00000021576	351	334	528	292	127	248	321
ENSMUSG00000021577	992	940	1411	739	949	2469	1695
ENSMUSG00000090004	1	4	8	0	7	6	12
ENSMUSG00000021578	312	304	413	299	169	329	373
ENSMUSG00000021579	0	0	0	0	0	0	0
ENSMUSG00000069184	17	14	19	3	34	36	55
ENSMUSG00000062382	0	0	0	0	5	9	3
ENSMUSG00000076033	0	0	0	0	0	0	0
ENSMUSG00000069208	37	20	45	33	49	62	75
ENSMUSG00000021583	326	321	506	272	350	689	781
ENSMUSG00000021585	223	270	443	267	511	781	718
ENSMUSG00000086743	0	0	0	0	0	0	0
ENSMUSG00000021587	1	0	2	0	2	4	2
ENSMUSG00000074800	8	9	11	7	13	25	42
